Year,Month,From_City,Total_Count,Stay_Prob,Outflow_Count,To_Top1,To_Top1_Count,To_Top2,To_Top2_Count,To_Top3,To_Top3_Count,To_Top4,To_Top4_Count,To_Top5,To_Top5_Count,To_Top6,To_Top6_Count,To_Top7,To_Top7_Count,To_Top8,To_Top8_Count,To_Top9,To_Top9_Count,To_Top10,To_Top10_Count,To_Top11,To_Top11_Count,To_Top12,To_Top12_Count,To_Top13,To_Top13_Count,To_Top14,To_Top14_Count,To_Top15,To_Top15_Count,To_Top16,To_Top16_Count,To_Top17,To_Top17_Count,To_Top18,To_Top18_Count,To_Top19,To_Top19_Count,To_Top20,To_Top20_Count
2000,12,重庆市(5001),28488200,0.7445,7278735,成都市(5101),750372,泉州市(3505),620662,广州市(4401),367104,东莞市(4419),361814,达州市(5117),321830,广安市(5116),306355,北京市(1101),303760,温州市(3303),291009,昆明市(5301),284507,海东市(6302),280258,深圳市(4403),268153,绍兴市(3306),267556,惠州市(4413),244232,遵义市(5203),222068,佛山市(4406),204027,福州市(3501),199439,宜昌市(4205),192785,曲靖市(5303),191937,毕节市(5205),191095,金华市(3307),186829
2001,12,重庆市(5001),27901236,0.82178716,4972359,泉州市(3505),401350,成都市(5101),366090,东莞市(4419),350564,深圳市(4403),342736,温州市(3303),249749,广州市(4401),230378,达州市(5117),198262,广安市(5116),188729,北京市(1101),182760,惠州市(4413),178076,海东市(6302),172652,绍兴市(3306),164827,昆明市(5301),162249,佛山市(4406),156275,上海市(3101),147584,遵义市(5203),136804,福州市(3501),120814,曲靖市(5303),118242,毕节市(5205),117723,金华市(3307),115095
2002,12,重庆市(5001),27922407,0.85,4188361,深圳市(4403),381681,东莞市(4419),367087,泉州市(3505),323470,温州市(3303),243010,成都市(5101),223737,上海市(3101),188821,广州市(4401),180304,惠州市(4413),154494,达州市(5117),153461,广安市(5116),146082,佛山市(4406),142629,北京市(1101),138095,海东市(6302),133638,绍兴市(3306),127581,昆明市(5301),116334,遵义市(5203),105891,福州市(3501),92551,曲靖市(5303),91523,毕节市(5205),91122,金华市(3307),89087
2003,12,重庆市(5001),27941129,0.85,4191169,深圳市(4403),441349,东莞市(4419),420122,泉州市(3505),312216,温州市(3303),265491,上海市(3101),232942,广州市(4401),169698,成都市(5101),168381,惠州市(4413),155746,佛山市(4406),150424,达州市(5117),143623,广安市(5116),136718,北京市(1101),126138,海东市(6302),125071,绍兴市(3306),119403,昆明市(5301),101275,遵义市(5203),99103,福州市(3501),86155,曲靖市(5303),85656,嘉兴市(3304),85555,毕节市(5205),85280
2004,12,重庆市(5001),27967505,0.85,4195126,深圳市(4403),472158,东莞市(4419),451128,泉州市(3505),303398,温州市(3303),277431,上海市(3101),263929,广州市(4401),162013,佛山市(4406),154879,惠州市(4413),154774,达州市(5117),136836,成都市(5101),136329,广安市(5116),130256,海东市(6302),119160,北京市(1101),117295,绍兴市(3306),113760,遵义市(5203),94419,嘉兴市(3304),91990,昆明市(5301),90524,台州市(3310),84592,苏州市(3205),82197,福州市(3501),81921
2005,12,重庆市(5001),27980000,0.85,4197000,深圳市(4403),468844,东莞市(4419),449504,泉州市(3505),292068,上海市(3101),282683,温州市(3303),273797,广州市(4401),154918,佛山市(4406),153403,惠州市(4413),149991,达州市(5117),130804,广安市(5116),124515,成都市(5101),122454,海东市(6302),113908,北京市(1101),109474,绍兴市(3306),108746,宁波市(3302),100207,嘉兴市(3304),95427,遵义市(5203),90257,台州市(3310),88588,苏州市(3205),83054,昆明市(5301),82309
2006,12,重庆市(5001),28028802,0.85,4204320,深圳市(4403),440334,东莞市(4419),438245,上海市(3101),297024,泉州市(3505),283953,温州市(3303),266650,宁波市(3302),166800,佛山市(4406),151423,广州市(4401),148798,惠州市(4413),141763,成都市(5101),134331,达州市(5117),127543,广安市(5116),121411,海东市(6302),111068,绍兴市(3306),106034,北京市(1101),104290,嘉兴市(3304),98241,台州市(3310),93911,遵义市(5203),88007,苏州市(3205),84069,福州市(3501),80698
2007,12,重庆市(5001),28042496,0.85,4206374,东莞市(4419),429528,深圳市(4403),392592,上海市(3101),305508,泉州市(3505),276458,温州市(3303),260663,宁波市(3302),215240,成都市(5101),166696,佛山市(4406),150008,广州市(4401),140682,惠州市(4413),128339,达州市(5117),125112,广安市(5116),119096,海东市(6302),108951,绍兴市(3306),104013,北京市(1101),100049,嘉兴市(3304),99732,台州市(3310),99509,福州市(3501),89362,遵义市(5203),86330,苏州市(3205),84448
2008,12,重庆市(5001),28067362,0.85,4210104,东莞市(4419),422979,深圳市(4403),341141,上海市(3101),309990,泉州市(3505),270114,温州市(3303),255860,宁波市(3302),248072,成都市(5101),205676,佛山市(4406),149143,广州市(4401),132636,达州市(5117),123488,广安市(5116),117551,惠州市(4413),113534,海东市(6302),107537,台州市(3310),105510,绍兴市(3306),102663,嘉兴市(3304),100390,福州市(3501),100220,北京市(1101),96709,遵义市(5203),85209,苏州市(3205),84487
2009,12,重庆市(5001),28093131,0.85,4213970,东莞市(4419),417502,上海市(3101),311483,深圳市(4403),299732,宁波市(3302),266706,泉州市(3505),264933,温州市(3303),251811,成都市(5101),238105,佛山市(4406),148546,广州市(4401),126341,达州市(5117),122438,广安市(5116),116551,台州市(3310),111843,福州市(3501),109352,海东市(6302),106623,绍兴市(3306),101790,惠州市(4413),100653,嘉兴市(3304),100451,北京市(1101),94072,杭州市(3301),84761,遵义市(5203),84485
2010,12,重庆市(5001),28846200,0.85,4326930,东莞市(4419),422907,上海市(3101),319004,深圳市(4403),289404,宁波市(3302),279097,泉州市(3505),267826,成都市(5101),257620,温州市(3303),254649,佛山市(4406),151831,广州市(4401),126723,达州市(5117),124951,台州市(3310),121517,广安市(5116),118943,福州市(3501),115869,海东市(6302),108811,绍兴市(3306),103880,嘉兴市(3304),102748,惠州市(4413),95420,北京市(1101),94392,杭州市(3301),94197,遵义市(5203),86219
2011,12,重庆市(5001),28446734,0.85,4267010,东莞市(4419),411923,上海市(3101),309431,深圳市(4403),294837,宁波市(3302),266250,泉州市(3505),261700,成都市(5101),252485,温州市(3303),245098,佛山市(4406),147381,台州市(3310),125591,广州市(4401),124875,达州市(5117),123080,广安市(5116),117162,福州市(3501),112355,海东市(6302),107181,绍兴市(3306),102324,嘉兴市(3304),99965,杭州市(3301),98551,北京市(1101),91564,惠州市(4413),90556,遵义市(5203),84927
2012,12,重庆市(5001),28835304,0.85,4325296,东莞市(4419),413302,深圳市(4403),329404,上海市(3101),301606,泉州市(3505),264651,成都市(5101),252239,宁波市(3302),245332,温州市(3303),238253,佛山市(4406),144158,台州市(3310),132291,广州市(4401),127657,达州市(5117),125468,广安市(5116),119436,海东市(6302),109261,福州市(3501),109141,杭州市(3301),105993,绍兴市(3306),104309,嘉兴市(3304),98328,厦门市(3502),93918,北京市(1101),92007,惠州市(4413),89234
2013,12,重庆市(5001),29355563,0.85,4403334,东莞市(4419),416762,深圳市(4403),386983,上海市(3101),288576,泉州市(3505),270510,成都市(5101),248704,温州市(3303),228960,宁波市(3302),208769,台州市(3310),139708,佛山市(4406),139166,广州市(4401),132529,达州市(5117),129272,广安市(5116),123056,杭州市(3301),114489,海东市(6302),112573,绍兴市(3306),107471,厦门市(3502),107390,福州市(3501),103275,嘉兴市(3304),95601,北京市(1101),93563,中山市(4420),92165
2014,12,重庆市(5001),29989046,0.85,4498357,深圳市(4403),469020,东莞市(4419),421430,泉州市(3505),279183,上海市(3101),270232,成都市(5101),238972,温州市(3303),217671,宁波市(3302),154267,台州市(3310),148229,广州市(4401),139897,达州市(5117),134477,佛山市(4406),132731,广安市(5116),128011,杭州市(3301),124108,厦门市(3502),124001,海东市(6302),117106,绍兴市(3306),111799,中山市(4420),97730,北京市(1101),96227,福州市(3501),94202,遵义市(5203),92792
2015,12,重庆市(5001),30700200,0.85,4605030,深圳市(4403),577677,东莞市(4419),426153,泉州市(3505),290529,上海市(3101),246176,成都市(5101),219330,温州市(3303),204792,台州市(3310),158039,广州市(4401),150244,厦门市(3502),143978,达州市(5117),141048,杭州市(3301),134855,广安市(5116),134266,佛山市(4406),125146,海东市(6302),122828,绍兴市(3306),117261,无锡市(3202),105118,中山市(4420),104450,北京市(1101),99988,遵义市(5203),97325,昆明市(5301),95409
2016,12,重庆市(5001),31344669,0.85,4701700,深圳市(4403),682013,东莞市(4419),430049,泉州市(3505),301394,上海市(3101),223402,成都市(5101),197393,温州市(3303),193475,台州市(3310),167322,厦门市(3502),162465,广州市(4401),160517,达州市(5117),147259,杭州市(3301),144499,广安市(5116),140179,海东市(6302),128237,绍兴市(3306),122426,佛山市(4406),118406,无锡市(3202),116624,中山市(4420),110697,昆明市(5301),105467,北京市(1101),103698,遵义市(5203),101612
2017,12,重庆市(5001),31848646,0.85,4777297,深圳市(4403),753694,东莞市(4419),428425,泉州市(3505),306410,上海市(3101),203798,温州市(3303),182857,成都市(5101),178699,厦门市(3502),174723,台州市(3310),172974,广州市(4401),166581,达州市(5117),150393,杭州市(3301),150259,广安市(5116),143162,海东市(6302),130966,绍兴市(3306),125031,无锡市(3202),124088,中山市(4420),114245,佛山市(4406),112048,昆明市(5301),111955,北京市(1101),105402,遵义市(5203),103774
2018,12,重庆市(5001),32232398,0.85,4834860,深圳市(4403),810200,东莞市(4419),426468,泉州市(3505),309980,上海市(3101),187722,厦门市(3502),184317,台州市(3310),177511,温州市(3303),174039,广州市(4401),171206,成都市(5101),163393,杭州市(3301),154664,达州市(5117),152685,广安市(5116),145344,海东市(6302),132962,无锡市(3202),129904,绍兴市(3306),126936,昆明市(5301),117003,中山市(4420),116926,佛山市(4406),106764,北京市(1101),106613,遵义市(5203),105355
2019,12,重庆市(5001),32555321,0.85,4883298,深圳市(4403),857625,东莞市(4419),424806,泉州市(3505),312964,厦门市(3502),192367,台州市(3310),181481,广州市(4401),175083,上海市(3101),174212,温州市(3303),166626,杭州市(3301),158357,达州市(5117),154604,成都市(5101),150530,广安市(5116),147170,无锡市(3202),134782,海东市(6302),134633,绍兴市(3306),128531,昆明市(5301),121237,中山市(4420),119172,北京市(1101),107625,遵义市(5203),106679,惠州市(4413),104214
2020,12,重庆市(5001),33009553,0.85,4951433,深圳市(4403),903407,东莞市(4419),425603,泉州市(3505),317212,厦门市(3502),200385,台州市(3310),186013,广州市(4401),179380,上海市(3101),163379,杭州市(3301),162405,温州市(3303),161056,达州市(5117),157089,广安市(5116),149536,成都市(5101),140136,无锡市(3202),139738,海东市(6302),136797,绍兴市(3306),130597,昆明市(5301),125561,中山市(4420),121756,北京市(1101),109074,遵义市(5203),108394,惠州市(4413),105889
2000,12,合肥市(3401),4470000,0.3285,3001605,上海市(3101),403660,宁波市(3302),238955,北京市(1101),169006,苏州市(3205),165343,芜湖市(3402),135417,安庆市(3408),116278,南京市(3201),115920,揭阳市(4452),113447,深圳市(4403),111014,沧州市(1309),107983,六安市(3415),90796,淮安市(3208),84760,娄底市(4313),81974,嘉兴市(3304),77693,蚌埠市(3403),70220,常州市(3204),66801,长春市(2201),66513,南通市(3206),65204,滁州市(3411),64745,保定市(1306),62124
2001,12,合肥市(3401),4410004,0.530047849,2072491,上海市(3101),342459,北京市(1101),168994,宁波市(3302),147037,苏州市(3205),122407,南京市(3201),84571,揭阳市(4452),74744,芜湖市(3402),73694,安庆市(3408),73141,沧州市(1309),71144,深圳市(4403),60760,淮安市(3208),55844,娄底市(4313),54008,常州市(3204),50466,六安市(3415),50252,嘉兴市(3304),50166,长春市(2201),43822,南通市(3206),41365,保定市(1306),40930,蚌埠市(3403),40583,淮南市(3404),38745
2002,12,合肥市(3401),4454983,0.653814201,1542252,上海市(3101),295315,北京市(1101),155974,宁波市(3302),96309,苏州市(3205),96202,南京市(3201),65317,揭阳市(4452),53596,沧州市(1309),51015,安庆市(3408),49960,芜湖市(3402),43594,淮安市(3208),40044,常州市(3204),39929,娄底市(4313),38727,深圳市(4403),36459,嘉兴市(3304),34654,长春市(2201),31423,六安市(3415),29362,保定市(1306),29349,南通市(3206),28518,淮南市(3404),27139,泉州市(3505),26435
2003,12,合肥市(3401),4507528,0.729680285,1218474,上海市(3101),257513,北京市(1101),140077,苏州市(3205),78869,宁波市(3302),65957,南京市(3201),52692,揭阳市(4452),41091,沧州市(1309),39112,安庆市(3408),36396,常州市(3204),32738,淮安市(3208),30700,娄底市(4313),29691,芜湖市(3402),28035,嘉兴市(3304),25225,长春市(2201),24091,深圳市(4403),23707,保定市(1306),22501,南通市(3206),20988,淮南市(3404),20313,泉州市(3505),20267,湖州市(3305),19474
2004,12,合肥市(3401),4567614,0.771024542,1045872,上海市(3101),234644,北京市(1101),129118,苏州市(3205),69292,宁波市(3302),48528,南京市(3201),45751,揭阳市(4452),34625,沧州市(1309),32957,安庆市(3408),29062,常州市(3204),28700,淮安市(3208),25869,娄底市(4313),25019,芜湖市(3402),20739,长春市(2201),20300,嘉兴市(3304),19943,保定市(1306),18961,深圳市(4403),17289,泉州市(3505),17078,南通市(3206),16947,淮南市(3404),16700,湖州市(3305),16410
2005,12,合肥市(3401),4630000,0.7833,1003321,上海市(3101),231070,北京市(1101),127490,苏州市(3205),67384,南京市(3201),44285,宁波市(3302),39676,揭阳市(4452),33183,沧州市(1309),31584,常州市(3204),27871,安庆市(3408),26312,淮安市(3208),24792,娄底市(4313),23977,长春市(2201),19455,芜湖市(3402),18908,无锡市(3202),18380,保定市(1306),18171,嘉兴市(3304),17776,泉州市(3505),16367,湖州市(3305),15726,淮南市(3404),15606,南通市(3206),15533
2006,12,合肥市(3401),4734308,0.778614807,1048106,上海市(3101),243775,北京市(1101),131767,苏州市(3205),70627,南京市(3201),46032,揭阳市(4452),35076,宁波市(3302),34981,沧州市(1309),33387,常州市(3204),28837,淮安市(3208),26207,安庆市(3408),26186,娄底市(4313),25345,无锡市(3202),25036,芜湖市(3402),21300,长春市(2201),20565,保定市(1306),19208,嘉兴市(3304),17394,泉州市(3505),17301,湖州市(3305),16624,济南市(3701),16262,淮南市(3404),16075
2007,12,合肥市(3401),4891329,0.771092348,1119663,上海市(3101),262987,北京市(1101),134631,苏州市(3205),75047,南京市(3201),47829,揭阳市(4452),38044,沧州市(1309),36212,无锡市(3202),31996,宁波市(3302),31044,常州市(3204),29637,淮安市(3208),28424,娄底市(4313),27490,安庆市(3408),26636,芜湖市(3402),26500,长春市(2201),22305,保定市(1306),20833,泉州市(3505),18765,湖州市(3305),18030,济南市(3701),17638,杭州市(3301),17567,嘉兴市(3304),17478
2008,12,合肥市(3401),5093713,0.764650493,1198803,上海市(3101),284183,北京市(1101),134537,苏州市(3205),79719,南京市(3201),49166,揭阳市(4452),41438,沧州市(1309),39443,无锡市(3202),38702,芜湖市(3402),33282,淮安市(3208),30960,常州市(3204),30084,娄底市(4313),29942,宁波市(3302),27410,安庆市(3408),27090,长春市(2201),24295,保定市(1306),22692,杭州市(3301),21068,泉州市(3505),20439,湖州市(3305),19639,济南市(3701),19211,马鞍山市(3405),18116
2009,12,合肥市(3401),5323706,0.762711229,1263256,上海市(3101),301809,北京市(1101),130565,苏州市(3205),83672,南京市(3201),49659,揭阳市(4452),44438,无锡市(3202),44036,沧州市(1309),42298,芜湖市(3402),39660,淮安市(3208),33201,娄底市(4313),32110,常州市(3204),30150,安庆市(3408),26989,长春市(2201),26054,杭州市(3301),24610,保定市(1306),24335,宁波市(3302),24144,泉州市(3505),21918,湖州市(3305),21061,济南市(3701),20602,马鞍山市(3405),20233
2010,12,合肥市(3401),5708000,0.7686,1320831,上海市(3101),317065,北京市(1101),126033,苏州市(3205),88034,南京市(3201),50373,无锡市(3202),47671,揭阳市(4452),47185,沧州市(1309),44912,芜湖市(3402),43878,淮安市(3208),35253,娄底市(4313),34094,常州市(3204),30758,杭州市(3301),27667,长春市(2201),27664,安庆市(3408),26468,保定市(1306),25838,泉州市(3505),23273,湖州市(3305),22362,马鞍山市(3405),22319,宁波市(3302),22235,济南市(3701),21875
2011,12,合肥市(3401),5889389,0.782550569,1280644,上海市(3101),306733,北京市(1101),113154,苏州市(3205),87997,南京市(3201),47844,揭阳市(4452),46271,无锡市(3202),46083,沧州市(1309),44043,芜湖市(3402),43006,淮安市(3208),34571,娄底市(4313),33434,常州市(3204),29682,杭州市(3301),28133,长春市(2201),27129,保定市(1306),25338,安庆市(3408),23808,泉州市(3505),22822,马鞍山市(3405),22713,湖州市(3305),21930,济南市(3701),21452,宁波市(3302),19791
2012,12,合肥市(3401),6273312,0.802723539,1237577,上海市(3101),293213,北京市(1101),100158,苏州市(3205),90194,南京市(3201),45211,揭阳市(4452),45066,沧州市(1309),42896,无锡市(3202),42888,芜湖市(3402),41726,淮安市(3208),33671,娄底市(4313),32564,常州市(3204),28509,杭州市(3301),28293,长春市(2201),26422,保定市(1306),24678,马鞍山市(3405),23023,泉州市(3505),22228,湖州市(3305),21358,深圳市(4403),21160,安庆市(3408),21097,济南市(3701),20893
2013,12,合肥市(3401),6724481,0.829845553,1144200,上海市(3101),266265,苏州市(3205),90136,北京市(1101),83863,揭阳市(4452),41884,南京市(3201),40898,沧州市(1309),39867,芜湖市(3402),38377,无锡市(3202),36686,淮安市(3208),31293,娄底市(4313),30264,杭州市(3301),27014,常州市(3204),26207,长春市(2201),24557,深圳市(4403),24367,保定市(1306),22936,马鞍山市(3405),22317,泉州市(3505),20659,湖州市(3305),19850,济南市(3701),19418,镇江市(3211),18926
2014,12,合肥市(3401),7234120,0.85,1085118,上海市(3101),246647,苏州市(3205),93324,北京市(1101),71150,揭阳市(4452),39864,南京市(3201),38064,沧州市(1309),37944,芜湖市(3402),35780,无锡市(3202),30572,淮安市(3208),29784,娄底市(4313),28805,深圳市(4403),28738,杭州市(3301),26256,常州市(3204),24765,长春市(2201),23372,马鞍山市(3405),22183,保定市(1306),21830,镇江市(3211),20706,泉州市(3505),19662,湖州市(3305),18893,济南市(3701),18482
2015,12,合肥市(3401),7789500,0.85,1168425,上海市(3101),258372,苏州市(3205),110025,北京市(1101),67594,揭阳市(4452),43047,沧州市(1309),40974,南京市(3201),40447,深圳市(4403),37731,芜湖市(3402),37309,淮安市(3208),32162,娄底市(4313),31105,杭州市(3301),28754,无锡市(3202),26822,常州市(3204),26674,镇江市(3211),25267,长春市(2201),25238,马鞍山市(3405),25036,保定市(1306),23573,泉州市(3505),21232,滁州市(3411),21091,湖州市(3305),20402
2016,12,合肥市(3401),8268294,0.85,1240244,上海市(3101),267802,苏州市(3205),125362,北京市(1101),63999,深圳市(4403),46102,揭阳市(4452),45800,沧州市(1309),43594,南京市(3201),42599,芜湖市(3402),38285,淮安市(3208),34219,娄底市(4313),33094,杭州市(3301),30849,镇江市(3211),29392,常州市(3204),28379,马鞍山市(3405),27596,长春市(2201),26852,保定市(1306),25080,滁州市(3411),24349,泉州市(3505),22590,蚌埠市(3403),22560,无锡市(3202),22527
2017,12,合肥市(3401),8622730,0.85,1293409,上海市(3101),274504,苏州市(3205),137113,北京市(1101),60988,深圳市(4403),52576,揭阳市(4452),47844,沧州市(1309),45540,南京市(3201),44179,芜湖市(3402),38950,淮安市(3208),35746,娄底市(4313),34571,镇江市(3211),32564,杭州市(3301),32417,常州市(3204),29646,马鞍山市(3405),29538,长春市(2201),28051,滁州市(3411),26852,保定市(1306),26200,蚌埠市(3403),25179,泉州市(3505),23598,湖州市(3305),22675
2018,12,合肥市(3401),8897262,0.85,1334589,上海市(3101),279416,苏州市(3205),146603,北京市(1101),58312,深圳市(4403),57862,揭阳市(4452),49435,沧州市(1309),47054,南京市(3201),45389,芜湖市(3402),39407,淮安市(3208),36935,娄底市(4313),35720,镇江市(3211),35137,杭州市(3301),33647,马鞍山市(3405),31089,常州市(3204),30632,长春市(2201),28983,滁州市(3411),28879,蚌埠市(3403),27308,保定市(1306),27071,泉州市(3505),24383,湖州市(3305),23429
2019,12,合肥市(3401),9125147,0.85,1368772,上海市(3101),283364,苏州市(3205),154665,深圳市(4403),62380,北京市(1101),55928,揭阳市(4452),50758,沧州市(1309),48314,南京市(3201),46388,芜湖市(3402),39760,淮安市(3208),37923,镇江市(3211),37328,娄底市(4313),36677,杭州市(3301),34675,马鞍山市(3405),32399,常州市(3204),31452,滁州市(3411),30603,长春市(2201),29759,蚌埠市(3403),29123,保定市(1306),27795,泉州市(3505),25036,湖州市(3305),24056
2020,12,合肥市(3401),9369970,0.85,1405495,上海市(3101),288179,苏州市(3205),162565,深圳市(4403),66696,北京市(1101),54056,揭阳市(4452),52171,沧州市(1309),49658,南京市(3201),47491,芜湖市(3402),40256,镇江市(3211),39453,淮安市(3208),38979,娄底市(4313),37697,杭州市(3301),35751,马鞍山市(3405),33715,常州市(3204),32327,滁州市(3411),32282,蚌埠市(3403),30875,长春市(2201),30587,保定市(1306),28569,泉州市(3505),25732,湖州市(3305),24725
2000,12,信阳市(4115),7746947,0.6272,2888062,深圳市(4403),217461,唐山市(1302),187769,郑州市(4101),185175,济南市(3701),180016,武汉市(4201),178213,南阳市(4113),149584,北京市(1101),148131,杭州市(3301),143364,常州市(3204),129846,温州市(3303),94451,东莞市(4419),91441,上海市(3101),80051,无锡市(3202),79729,南京市(3201),76174,衡水市(1311),75420,洛阳市(4103),74491,宁波市(3302),73415,嘉兴市(3304),72118,湖州市(3305),67175,开封市(4102),65824
2001,12,信阳市(4115),7372790,0.757904762,1784917,北京市(1101),128235,深圳市(4403),127670,唐山市(1302),113440,济南市(3701),108756,上海市(3101),92953,南阳市(4113),90371,武汉市(4201),89554,杭州市(3301),89173,郑州市(4101),86765,东莞市(4419),71981,常州市(3204),66910,温州市(3303),53874,无锡市(3202),47004,苏州市(3205),46126,南京市(3201),46020,衡水市(1311),45565,洛阳市(4103),45003,宁波市(3302),41461,开封市(4102),39767,嘉兴市(3304),39472
2002,12,信阳市(4115),7171921,0.839117156,1153839,北京市(1101),103289,上海市(3101),84332,深圳市(4403),75758,唐山市(1302),71550,济南市(3701),68596,杭州市(3301),57301,南阳市(4113),56999,东莞市(4419),55006,武汉市(4201),46933,郑州市(4101),41836,苏州市(3205),36881,常州市(3204),35677,温州市(3303),32101,南京市(3201),29026,无锡市(3202),28983,衡水市(1311),28739,洛阳市(4103),28385,开封市(4102),25082,宁波市(3302),24327,嘉兴市(3304),22946
2003,12,信阳市(4115),6979969,0.85,1046995,北京市(1101),108497,上海市(3101),94433,唐山市(1302),63703,深圳市(4403),61604,济南市(3701),61073,东莞市(4419),55967,杭州市(3301),51563,南阳市(4113),50749,苏州市(3205),39564,武汉市(4201),34808,郑州市(4101),28689,温州市(3303),27045,常州市(3204),26626,南京市(3201),25843,衡水市(1311),25587,无锡市(3202),25324,洛阳市(4103),25272,开封市(4102),22332,宁波市(3302),20035,嘉兴市(3304),19228
2004,12,信阳市(4115),6801107,0.85,1020166,北京市(1101),115650,上海市(3101),104911,唐山市(1302),61389,济南市(3701),58854,东莞市(4419),58480,深圳市(4403),52730,杭州市(3301),49933,南阳市(4113),48905,苏州市(3205),44402,武汉市(4201),28154,南京市(3201),24904,温州市(3303),24738,衡水市(1311),24658,洛阳市(4103),24354,无锡市(3202),24093,郑州市(4101),22492,开封市(4102),21520,常州市(3204),21357,嘉兴市(3304),17857,宁波市(3302),17742
2005,12,信阳市(4115),6631799,0.85,994770,北京市(1101),117272,上海市(3101),109863,唐山市(1302),59816,东莞市(4419),58607,济南市(3701),57346,苏州市(3205),49168,杭州市(3301),48712,南阳市(4113),47651,深圳市(4403),44463,南京市(3201),24266,衡水市(1311),24026,洛阳市(4103),23730,无锡市(3202),23365,武汉市(4201),23351,温州市(3303),22985,开封市(4102),20969,郑州市(4101),20180,常州市(3204),17255,嘉兴市(3304),17187,宁波市(3302),15762
2006,12,信阳市(4115),6463552,0.839587072,1036837,北京市(1101),123348,上海市(3101),118790,唐山市(1302),62445,东莞市(4419),61089,济南市(3701),59866,苏州市(3205),57997,杭州市(3301),50090,南阳市(4113),49746,深圳市(4403),39277,南京市(3201),25333,衡水市(1311),25082,洛阳市(4103),24773,无锡市(3202),24400,郑州市(4101),24038,温州市(3303),23036,开封市(4102),21890,武汉市(4201),21200,嘉兴市(3304),18421,天津市(1201),16897,长春市(2201),15590
2007,12,信阳市(4115),6276481,0.809792487,1193834,北京市(1101),142353,上海市(3101),140155,苏州市(3205),74793,唐山市(1302),71641,东莞市(4419),69627,济南市(3701),68683,南阳市(4113),57072,杭州市(3301),55380,深圳市(4403),37593,郑州市(4101),35707,南京市(3201),29063,衡水市(1311),28775,洛阳市(4103),28421,无锡市(3202),28021,温州市(3303),25509,开封市(4102),25114,嘉兴市(3304),22567,武汉市(4201),21762,天津市(1201),20485,长春市(2201),17886
2008,12,信阳市(4115),6109645,0.787108558,1300691,上海市(3101),155061,北京市(1101),154879,苏州市(3205),89301,唐山市(1302),77611,济南市(3701),74406,东莞市(4419),74336,南阳市(4113),61828,杭州市(3301),57297,郑州市(4101),49193,深圳市(4403),34100,南京市(3201),31485,衡水市(1311),31173,洛阳市(4103),30789,无锡市(3202),30405,开封市(4102),27207,温州市(3303),26714,嘉兴市(3304),26611,天津市(1201),22851,武汉市(4201),21805,长春市(2201),19376
2009,12,信阳市(4115),5989960,0.772578784,1362244,上海市(3101),163929,北京市(1101),161879,苏州市(3205),99643,唐山市(1302),80906,济南市(3701),77566,东莞市(4419),75505,南阳市(4113),64453,郑州市(4101),60462,杭州市(3301),57374,南京市(3201),32822,衡水市(1311),32497,洛阳市(4103),32097,无锡市(3202),31765,深圳市(4403),30881,嘉兴市(3304),30269,开封市(4102),28362,温州市(3303),26839,天津市(1201),24115,武汉市(4201),21755,长春市(2201),20199
2010,12,信阳市(4115),6100900,0.7674,1419069,上海市(3101),171848,北京市(1101),168686,苏州市(3205),106961,唐山市(1302),84234,济南市(3701),80755,东莞市(4419),75420,南阳市(4113),67104,郑州市(4101),66956,杭州市(3301),58705,南京市(3201),34172,嘉兴市(3304),34054,衡水市(1311),33833,洛阳市(4103),33417,无锡市(3202),33162,深圳市(4403),30367,开封市(4102),29529,温州市(3303),26708,天津市(1201),25171,武汉市(4201),22352,长春市(2201),21030
2011,12,信阳市(4115),5998500,0.767696858,1393470,上海市(3101),169542,北京市(1101),165840,苏州市(3205),106062,唐山市(1302),82857,济南市(3701),79436,东莞市(4419),69718,南阳市(4113),66007,郑州市(4101),64982,杭州市(3301),58201,嘉兴市(3304),35962,南京市(3201),33613,衡水市(1311),33281,无锡市(3202),32981,洛阳市(4103),32871,深圳市(4403),29881,开封市(4102),29046,温州市(3303),24840,天津市(1201),24200,武汉市(4201),22828,惠州市(4413),21182
2012,12,信阳市(4115),6034021,0.769616008,1390142,上海市(3101),169712,北京市(1101),165325,苏州市(3205),106597,唐山市(1302),82740,济南市(3701),79324,南阳市(4113),65914,东莞市(4419),63592,郑州市(4101),62073,杭州市(3301),59464,嘉兴市(3304),38623,无锡市(3202),33747,南京市(3201),33566,衡水市(1311),33234,洛阳市(4103),32824,深圳市(4403),29913,开封市(4102),29005,武汉市(4201),25192,温州市(3303),23222,天津市(1201),22598,惠州市(4413),22476
2013,12,信阳市(4115),6079438,0.774830199,1368906,上海市(3101),167611,北京市(1101),162496,苏州市(3205),105588,唐山市(1302),81569,济南市(3701),78201,南阳市(4113),64981,杭州市(3301),60798,郑州市(4101),56236,东莞市(4419),54981,嘉兴市(3304),40973,无锡市(3202),34410,南京市(3201),33091,衡水市(1311),32763,洛阳市(4103),32359,深圳市(4403),29688,开封市(4102),28594,武汉市(4201),28552,惠州市(4413),23673,温州市(3303),21194,长春市(2201),20364
